-0.696,0.704,0.143
-0.778,0.544,0.313
-0.814,0.261,0.519
0.888,0.383,0.256
-0.796,0.594,0.118
-0.791,0.601,0.114
-0.858,0.412,0.307
-0.848,0.142,0.511
0.930,0.277,0.241
0.929,0.283,0.239
-0.643,0.755,0.128
-0.739,0.605,0.295
0.863,0.441,0.246
-0.976,0.122,-0.182
-0.974,-0.093,0.209
-0.974,-0.090,0.207
0.026,0.979,-0.202
-0.827,0.530,0.187
-0.864,0.249,0.438
0.023,0.991,-0.131
-0.796,0.562,0.225
-0.841,0.283,0.461
0.021,0.999,0.046
-0.713,0.677,0.184
-0.788,0.504,0.353
-0.809,0.232,0.540
0.891,0.357,0.280
0.891,0.357,0.281
-0.632,0.758,0.161
-0.724,0.609,0.323
-0.784,0.332,0.524
0.049,0.470,-0.881
-0.989,-0.082,0.121
0.029,0.933,-0.359
-0.900,0.249,0.358
-0.646,0.658,0.387
-0.642,0.665,0.382
-0.703,0.498,0.507
-0.733,0.245,0.635
-0.732,0.248,0.634
-0.733,0.238,0.637
0.835,0.371,0.408
0.836,0.367,0.409
-0.853,0.347,-0.390
-0.976,0.180,-0.124
-0.967,-0.054,0.249
0.040,0.926,-0.376
-0.837,0.539,-0.093
-0.922,0.362,0.138
-0.907,0.092,0.412
0.963,0.236,0.127
-0.845,0.343,0.411
-0.966,0.233,-0.115
-0.967,-0.006,0.253
0.988,0.149,-0.028
-0.917,0.398,0.003
0.929,0.367,-0.033
